suburb,Year,House price,Vacant Price,Unit price,Average
STRATHDALE,2017,380000,267500,270000,305833.3333
STRATHDALE,2018,420000,242000,260000,307333.3333
SUNBURY,2015,370000,215000,320000,301666.6667
SUNBURY,2016,395000,218000,358000,323666.6667
SUNBURY,2017,492000,235000,375000,367333.3333
SUNBURY,2018,545000,332000,415000,430666.6667
SUNSHINE NORTH,2015,495000,280000,355000,376666.6667
SUNSHINE NORTH,2016,560000,387500,415000,454166.6667
SUNSHINE NORTH,2017,651000,430000,450000,510333.3333
SUNSHINE NORTH,2018,682500,315000,455500,484333.3333
SWAN HILL,2015,248000,88000,189000,175000
SWAN HILL,2016,262500,102500,230000,198333.3333
SWAN HILL,2017,252000,109000,222500,194500
SWAN HILL,2018,267000,138000,212000,205666.6667
TARNEIT,2015,400000,210000,300000,303333.3333
TARNEIT,2016,445000,225000,320500,330166.6667
TARNEIT,2017,515000,274500,377500,389000
TARNEIT,2018,568500,297000,403000,422833.3333
TATURA,2015,233000,95000,197500,175166.6667
TATURA,2016,228000,105000,184500,172500
TATURA,2017,262000,112500,180000,184833.3333
TATURA,2018,250000,125000,195000,190000
TORQUAY,2015,620000,250000,472000,447333.3333
TORQUAY,2016,665000,268000,485000,472666.6667
TORQUAY,2017,720000,295000,599000,538000
TORQUAY,2018,810000,358500,660000,609500
TRAFALGAR,2015,310000,140000,235000,228333.3333
TRAFALGAR,2016,312500,147500,250000,236666.6667
TRAFALGAR,2017,333500,147000,275000,251833.3333
TRAFALGAR,2018,375000,195000,297500,289166.6667
TRARALGON,2015,273000,152500,209000,211500
TRARALGON,2016,268500,150000,225000,214500
TRARALGON,2017,288500,143000,205000,212166.6667
TRARALGON,2018,298000,138000,213500,216500
TRUGANINA,2015,391000,229000,325000,315000
TRUGANINA,2016,430000,254500,334000,339500
TRUGANINA,2017,519500,285000,408000,404166.6667
TRUGANINA,2018,574500,325000,430000,443166.6667
WALLAN,2015,362000,150500,263000,258500
WALLAN,2016,375000,155000,277000,269000
WALLAN,2017,425000,185000,310000,306666.6667
WALLAN,2018,490000,245000,330000,355000
WALLAN EAST,2015,309500,148000,245000,234166.6667
WALLAN EAST,2016,352500,153000,277000,260833.3333
WALLAN EAST,2017,410000,159000,322000,297000
WALLAN EAST,2018,489000,255000,376500,373500
WANGARATTA,2015,272000,131000,210000,204333.3333
WANGARATTA,2016,270500,132000,202000,201500
WANGARATTA,2017,270000,151000,190000,203666.6667
WANGARATTA,2018,320000,162000,202500,228166.6667
WANTIRNA SOUTH,2015,829000,505000,485000,606333.3333
WANTIRNA SOUTH,2016,875000,465000,501500,613833.3333
WANTIRNA SOUTH,2017,1005000,516500,510000,677166.6667
WANTIRNA SOUTH,2018,1000000,572500,520000,697500
WARRAGUL,2015,342000,143000,242500,242500
WARRAGUL,2016,340000,149000,263000,250666.6667
WARRAGUL,2017,364000,170000,290000,274666.6667
WARRAGUL,2018,449000,201500,312500,321000
WARRNAMBOOL,2015,330000,140000,255000,241666.6667
WARRNAMBOOL,2016,320000,150000,252500,240833.3333
WARRNAMBOOL,2017,330000,150000,257000,245666.6667
WARRNAMBOOL,2018,350000,149000,252000,250333.3333
WENDOUREE,2015,250000,131000,209000,196666.6667
WENDOUREE,2016,252500,150000,240000,214166.6667
WENDOUREE,2017,267500,145000,232500,215000
WENDOUREE,2018,326000,135000,225000,228666.6667
WERRIBEE,2015,335000,191500,287500,271333.3333
WERRIBEE,2016,403000,208000,305000,305333.3333
WERRIBEE,2017,470000,253000,360000,361000
WERRIBEE,2018,510000,298000,390000,399333.3333
WERRIBEE SOUTH,2015,680000,345000,589000,538000
WERRIBEE SOUTH,2016,519000,389000,432000,446666.6667
WERRIBEE SOUTH,2017,620000,388500,480000,496166.6667
WERRIBEE SOUTH,2018,735000,402000,420000,519000
WEST WODONGA,2015,306000,133000,198000,212333.3333
WEST WODONGA,2016,308500,130000,205000,214500
WEST WODONGA,2017,321000,129000,208000,219333.3333
WEST WODONGA,2018,321000,136000,215000,224000
WHITE HILLS,2015,297500,135000,210000,214166.6667
WHITE HILLS,2016,305000,145000,295000,248333.3333
WHITE HILLS,2017,300000,157500,260000,239166.6667
WHITE HILLS,2018,313500,160500,299000,257666.6667
WILLIAMSTOWN NORTH,2015,862500,451000,489500,601000
WILLIAMSTOWN NORTH,2016,1135500,451000,548000,711500
WILLIAMSTOWN NORTH,2017,1024000,522500,531500,692666.6667
WILLIAMSTOWN NORTH,2018,860000,513000,577000,650000
WINCHELSEA,2015,262000,127500,292000,227166.6667
WINCHELSEA,2016,267000,158000,280000,235000
WINCHELSEA,2017,357000,168000,315000,280000
WINCHELSEA,2018,391000,178000,316000,295000
WODONGA,2015,295000,124000,188500,202500
WODONGA,2016,315000,135000,206000,218666.6667
WODONGA,2017,341500,141000,240000,240833.3333
WODONGA,2018,350000,146000,233500,243166.6667
WOLLERT,2015,430000,217000,339000,328666.6667
WOLLERT,2016,460000,233000,390000,361000
WOLLERT,2017,530000,265000,420000,405000
WOLLERT,2018,570000,309000,406000,428333.3333
WONTHAGGI,2015,260000,132000,215000,202333.3333
WONTHAGGI,2016,265000,135000,257000,219000
WONTHAGGI,2017,289000,145000,260000,231333.3333
WONTHAGGI,2018,339000,145000,306500,263500
WOODEND,2015,482500,230500,422000,378333.3333
WOODEND,2016,460000,235000,430000,375000
WOODEND,2017,560000,280000,560000,466666.6667
WOODEND,2018,665000,375500,470000,503500
WYNDHAM VALE,2015,325000,174000,240000,246333.3333
WYNDHAM VALE,2016,365000,198000,211000,258000
WYNDHAM VALE,2017,436000,226000,254500,305500
WYNDHAM VALE,2018,480000,285500,371000,378833.3333
YARRAWONGA,2015,300500,110000,228000,212833.3333
YARRAWONGA,2016,320000,118500,232500,223666.6667
YARRAWONGA,2017,324500,130000,236000,230166.6667
YARRAWONGA,2018,345000,158000,248000,250333.3333
